age,gender,ethnicity,annual_income,credit_score,prediction
49,Male,White,81551,739,1
54,Female,White,39556,674,0
62,Male,Asian,55598,723,1
34,Male,Asian,39563,611,1
64,Female,Other,74819,611,1
66,Female,White,101770,703,1
46,Female,Hispanic,119055,805,0
63,Female,Asian,54966,590,1
57,Female,White,109709,589,1
48,Male,White,87889,594,0
59,Male,Hispanic,54987,596,0
28,Male,Black,106714,747,1
26,Male,Asian,86348,725,1
64,Female,White,52596,762,0
66,Male,Hispanic,61174,780,1
52,Female,White,92106,732,1
44,Female,White,97967,811,1
63,Female,White,87182,638,1
31,Male,Hispanic,115163,657,1
53,Female,Hispanic,67310,703,1
64,Male,Black,84088,796,1
51,Male,White,36906,693,1
60,Female,Asian,64914,601,1
52,Male,White,73379,737,1
39,Male,Hispanic,106612,791,1
57,Female,White,65650,792,1
23,Male,White,74881,751,1
35,Female,Black,74413,611,0
34,Female,White,34012,758,1
50,Female,Hispanic,78115,753,1
33,Male,Black,35151,692,0
60,Male,White,85716,699,1
23,Female,Asian,64378,728,1
53,Male,White,70652,806,1
34,Female,Black,100430,701,0
67,Female,Asian,41467,611,1
48,Female,Black,59010,801,1
62,Male,White,82691,698,0
38,Male,Asian,92157,618,1
61,Female,Black,40289,591,0
52,Male,White,72976,812,1
55,Male,White,71596,754,1
45,Female,Hispanic,51171,597,1
66,Female,Black,114365,728,1
56,Female,Black,72139,720,0
27,Female,Asian,76713,728,1
40,Male,Hispanic,57734,705,1
51,Female,White,100588,715,1
28,Female,White,91646,625,1
31,Male,White,31654,683,1
62,Male,Hispanic,117022,817,1
53,Female,White,46743,714,1
55,Female,Black,76368,730,1
49,Female,Hispanic,118025,815,0
36,Female,Asian,102172,803,1
51,Male,White,34441,782,0
58,Male,Hispanic,52611,665,1
50,Female,White,40149,729,1
43,Female,Asian,87189,814,1
25,Female,White,49675,668,0
41,Female,White,99031,601,1
53,Male,Hispanic,70668,671,1
57,Male,White,41673,608,1
25,Female,White,104666,592,1
48,Female,Hispanic,116204,789,1
38,Female,Hispanic,108758,581,0
33,Female,Black,93429,608,1
43,Female,Hispanic,51669,792,0
38,Male,Black,62068,786,1
31,Male,White,116789,759,1
22,Male,White,37435,606,1
43,Female,White,80249,629,1
47,Male,Asian,65384,674,1
39,Male,Black,109929,786,0
35,Female,White,104153,730,1
50,Male,Black,103388,667,1
33,Female,Asian,59401,623,1
57,Male,White,99831,784,0
56,Male,Black,62084,601,1
33,Female,Black,83826,750,1
28,Male,Black,64451,744,0
50,Male,White,35227,768,1
32,Female,Asian,59910,676,1
54,Female,Asian,64041,763,1
27,Male,Black,116920,582,0
36,Female,Hispanic,93681,770,1
53,Male,Asian,109571,697,1
32,Male,Hispanic,93481,598,1
44,Female,White,96576,602,1
47,Female,Black,92174,736,0
55,Female,Black,54160,609,0
67,Female,White,45633,618,1
55,Female,Hispanic,45014,687,0
50,Male,Asian,108532,690,1
25,Male,Asian,77104,604,1
38,Female,Black,69621,707,0
56,Male,White,105231,808,1
34,Male,Other,96388,690,1
62,Male,Asian,44014,715,1
60,Male,White,61755,685,1
36,Female,Asian,68390,765,1
50,Female,Asian,51711,723,1
50,Female,Black,119658,651,1
32,Male,Black,85993,708,1
53,Male,White,102696,687,1
23,Male,White,55213,584,1
35,Male,White,85784,582,1
41,Female,Hispanic,35421,772,1
43,Female,White,114936,711,1
32,Female,White,45727,683,1
48,Male,White,32358,806,1
24,Female,Black,93108,803,0
38,Female,Asian,60117,643,1
65,Female,White,116700,685,1
49,Female,White,59910,677,1
50,Male,Hispanic,83754,814,1
42,Male,Black,90438,796,0
37,Male,White,57371,589,1
58,Female,Black,79501,728,1
41,Male,White,88946,707,1
27,Male,White,66467,625,1
40,Male,Black,45625,810,0
26,Male,White,61893,798,1
24,Female,Asian,104329,734,1
22,Female,White,59007,645,1
59,Male,Black,119302,748,1
36,Male,Black,67532,691,0
55,Male,White,82253,592,1
56,Male,Hispanic,40323,716,0
46,Male,White,101379,743,1
45,Male,Other,42210,665,1
33,Male,White,44456,813,1
39,Female,White,59367,669,1
36,Female,White,82624,637,1
65,Male,Other,38106,633,1
37,Male,Black,96008,591,1
48,Female,Black,100240,788,0
29,Male,White,92315,785,1
67,Female,Hispanic,97249,593,1
46,Female,White,98587,700,1
38,Male,Asian,38756,741,1
50,Male,White,96011,760,1
29,Female,White,64378,700,1
36,Male,White,32255,599,1
48,Female,Black,42484,654,0
67,Female,Black,84549,723,1
28,Female,White,62503,802,1
24,Male,Hispanic,101794,649,1
50,Female,Black,73113,635,0
65,Male,Black,102069,790,1
45,Female,White,33249,680,1
24,Female,White,47201,765,1
41,Male,Black,86576,711,1
67,Female,White,37686,690,1
36,Female,White,81363,704,1
46,Male,Asian,28661,711,1
51,Male,Asian,72843,599,1
35,Male,White,88963,717,1
28,Male,White,70828,603,1
38,Male,Black,76604,806,0
65,Female,White,38526,733,0
41,Male,White,96910,616,1
57,Male,White,53592,809,1
30,Female,Hispanic,56982,792,1
59,Male,Hispanic,28207,633,1
43,Female,White,116733,811,1
23,Male,White,96619,682,1
45,Male,White,57328,728,1
29,Female,Hispanic,74479,781,1
32,Female,White,48103,617,1
34,Female,White,67891,753,1
38,Female,Hispanic,38754,583,1
29,Female,White,109437,767,1
42,Male,Hispanic,100982,636,1
39,Male,White,83922,752,1
51,Female,White,76231,599,1
39,Female,White,57301,596,1
67,Female,Hispanic,119652,698,0
52,Male,Asian,90711,650,1
59,Male,Asian,69323,583,1
53,Female,White,46752,800,1
32,Male,Hispanic,110205,593,1
66,Female,White,41395,582,1
46,Female,White,113957,795,1
54,Male,Asian,84273,808,1
59,Female,White,119878,659,1
62,Female,White,32895,765,1
29,Male,White,104559,634,1
32,Female,White,38699,711,1
43,Male,White,93061,699,1
45,Female,Black,37715,603,0
62,Male,White,47169,741,1
38,Female,Asian,44163,737,1
33,Male,Hispanic,33782,661,0
67,Male,White,116177,726,1
53,Female,White,112328,738,1
36,Male,White,63585,767,1
37,Male,Black,58682,639,1
43,Female,White,75864,726,1
49,Female,Black,112416,628,1
41,Female,White,83114,642,1
54,Female,Black,66067,689,1
31,Male,White,70685,790,1
61,Male,White,46073,729,1
53,Male,Asian,64035,731,1
54,Female,Hispanic,92977,688,0
23,Female,White,118373,655,1
54,Female,Asian,111362,609,1
54,Female,Black,118517,637,1
62,Male,Asian,93450,809,1
34,Male,Hispanic,38382,696,1
51,Male,White,32437,738,1
54,Female,White,98971,679,0
34,Male,White,92612,771,1
47,Female,Black,118355,598,0
43,Male,Black,89929,755,1
60,Male,White,40329,752,1
23,Male,White,53169,807,1
59,Female,Asian,115468,673,1
60,Female,Other,62594,762,0
47,Male,Black,104957,692,1
67,Male,White,88631,762,1
36,Female,White,73033,804,1
55,Male,White,91133,725,1
63,Female,Asian,101165,642,1
65,Female,White,101861,695,1
61,Male,Black,80290,692,0
32,Male,White,59750,799,1
24,Female,Black,68461,626,1
27,Male,Hispanic,101800,782,1
30,Male,Hispanic,106222,636,1
27,Female,White,52226,697,0
30,Female,White,34721,624,1
60,Female,White,84154,740,1
52,Female,Asian,48609,724,1
53,Male,Asian,80130,777,1
62,Male,Black,100909,583,1
33,Female,Black,83249,727,0
29,Female,Hispanic,76895,819,0
29,Male,White,33656,626,0
49,Female,Asian,102520,798,1
41,Male,White,91740,722,1
28,Male,White,92309,777,1
32,Male,Black,57984,626,1
41,Male,White,101822,657,1
37,Male,White,33901,703,1
25,Male,Hispanic,59552,654,0
27,Male,White,119245,682,1
43,Female,Black,59055,716,1
47,Female,White,65685,669,1
24,Female,White,101965,723,1
62,Female,White,42716,648,1
63,Male,White,39138,640,1
35,Male,Hispanic,63298,717,1
32,Female,White,79112,629,1
39,Male,Black,51429,582,1
33,Female,Black,78200,784,0
44,Male,Hispanic,99308,686,1
33,Female,Asian,76244,692,1
34,Male,Hispanic,45347,673,1
46,Female,White,44920,697,0
66,Female,White,59822,816,1
40,Female,White,74659,777,1
67,Male,Black,68108,660,1
57,Female,White,117099,688,1
66,Female,Black,35967,630,0
29,Female,Black,39871,726,0
50,Female,White,105452,749,1
53,Female,Hispanic,102270,614,0
65,Male,White,61613,625,1
39,Female,White,56179,733,0
27,Female,Hispanic,80188,648,1
39,Female,Black,83099,672,0
40,Male,Hispanic,63262,643,1
43,Male,White,106213,744,1
58,Female,White,46268,791,1
53,Female,Hispanic,105866,628,1
62,Male,Hispanic,114269,728,1
24,Female,Hispanic,88545,653,1
49,Male,White,100146,771,1
31,Male,Black,99966,584,1
56,Male,White,67922,679,1
50,Male,White,107364,649,1
36,Female,Asian,70913,669,0
54,Male,White,83677,583,1
28,Female,Other,77841,705,1
33,Female,White,74332,810,1
