age,gender,ethnicity,prediction
36,Female,White,0
58,Male,Hispanic,0
34,Male,Hispanic,1
41,Male,Black,1
41,Female,White,1
27,Female,Hispanic,1
55,Male,Hispanic,1
25,Female,Asian,0
36,Female,Hispanic,0
28,Male,Black,0
37,Male,White,0
58,Female,Hispanic,1
45,Female,Asian,0
46,Female,White,0
28,Male,Hispanic,1
42,Male,Asian,1
29,Male,Hispanic,0
43,Male,White,1
26,Female,White,0
36,Male,White,1
41,Male,Black,0
34,Female,Hispanic,1
58,Female,Black,1
30,Female,White,1
32,Male,Asian,0
35,Female,Hispanic,0
36,Female,Black,0
33,Male,Hispanic,1
26,Male,Asian,1
32,Female,Black,1
35,Male,White,1
34,Female,Black,0
45,Female,Hispanic,0
44,Male,Hispanic,1
32,Female,Hispanic,0
53,Male,Hispanic,1
36,Male,White,0
38,Male,Black,1
45,Female,White,0
46,Male,White,0
45,Male,White,1
54,Female,Hispanic,0
44,Female,Hispanic,1
48,Female,Hispanic,1
47,Female,Black,1
31,Male,Asian,1
33,Male,Hispanic,1
25,Male,Black,0
50,Female,Hispanic,1
46,Female,Hispanic,1
34,Male,White,1
30,Female,White,1
41,Female,White,0
48,Male,Black,1
34,Male,Asian,1
32,Female,Asian,1
45,Female,Black,0
30,Female,Hispanic,1
45,Male,Black,0
48,Male,Hispanic,0
57,Male,Black,0
42,Male,Black,0
52,Male,Black,1
56,Female,Asian,1
36,Female,White,1
51,Female,Black,0
34,Male,Asian,0
56,Male,White,1
50,Male,White,1
49,Female,Black,0
35,Male,Hispanic,1
47,Male,Hispanic,1
58,Female,Hispanic,0
47,Male,Black,1
53,Female,Hispanic,0
55,Male,Asian,1
31,Male,Asian,0
57,Female,Asian,1
45,Female,Asian,1
26,Female,White,0
42,Female,Asian,0
57,Female,Hispanic,1
58,Female,Black,1
44,Male,Hispanic,1
59,Male,Asian,0
42,Female,White,0
48,Male,Asian,0
32,Female,Black,0
54,Male,Hispanic,1
34,Female,Black,0
47,Male,Black,0
35,Male,Black,0
26,Male,Hispanic,1
50,Male,Asian,0
57,Male,Black,0
37,Female,Hispanic,0
49,Female,White,0
28,Female,Hispanic,1
43,Male,White,1
42,Female,Hispanic,1
54,Male,Asian,1
43,Male,Black,0
47,Male,Asian,1
40,Female,Hispanic,0
25,Male,Black,0
36,Female,White,0
48,Female,Hispanic,1
58,Male,Black,1
32,Male,White,0
42,Female,White,0
29,Female,Asian,0
50,Female,Hispanic,0
54,Female,White,0
37,Female,Black,0
43,Female,White,1
53,Male,White,0
27,Female,Asian,1
50,Female,Asian,1
36,Female,Black,0
26,Female,Asian,1
35,Male,White,0
52,Male,White,1
42,Female,Asian,0
37,Female,White,0
46,Female,White,1
36,Male,Black,1
26,Male,Asian,0
31,Male,White,0
50,Male,Asian,1
50,Male,Black,1
48,Male,Asian,1
36,Female,White,0
40,Male,Asian,1
47,Male,White,1
33,Female,White,1
56,Male,White,0
39,Female,Black,0
37,Male,Asian,1
29,Female,Black,1
35,Female,Asian,1
34,Female,Black,0
37,Female,Hispanic,1
39,Female,White,1
31,Male,White,0
52,Male,Black,0
56,Female,Hispanic,0
59,Female,White,1
39,Female,Asian,0
45,Male,Black,1
30,Female,White,1
25,Female,White,0
28,Female,Black,0
35,Female,Black,0
50,Male,Asian,0
47,Female,Asian,1
53,Female,White,0
45,Male,White,0
51,Female,Black,0
37,Female,White,0
47,Male,White,1
40,Male,Black,0
54,Male,White,0
28,Female,White,1
40,Female,Hispanic,1
55,Male,Asian,1
49,Male,Black,1
36,Male,Hispanic,1
50,Female,Asian,1
57,Female,Asian,1
52,Male,Asian,1
33,Female,Hispanic,1
36,Male,Hispanic,0
29,Female,Asian,1
52,Female,White,1
59,Female,White,0
29,Female,Hispanic,1
58,Male,Hispanic,1
58,Female,Hispanic,0
37,Female,Asian,1
38,Male,White,0
35,Female,Hispanic,0
28,Male,Hispanic,0
57,Male,Black,1
31,Female,Asian,1
32,Female,Black,0
34,Male,White,1
39,Male,Black,1
39,Male,Black,0
29,Female,Black,0
53,Male,Asian,1
43,Male,White,0
34,Male,Black,1
36,Female,Asian,1
28,Male,White,0
55,Female,Hispanic,1
42,Female,Black,0
40,Male,White,1
49,Female,Black,0
47,Male,Hispanic,1
36,Female,White,1
